"성별","연도","교육","지역","월급"
2,1998,5,1,NA
1,2000,5,1,220
1,2003,5,1,NA
2,2006,4,1,NA
1,1953,5,1,NA
2,1959,4,1,NA
2,1981,6,1,210
2,1983,6,1,NA
1,1979,7,1,592
2,2019,1,1,NA
1,1952,5,1,NA
2,1957,6,1,NA
1,1993,7,1,300
2,1990,7,2,275
1,1938,4,2,NA
2,1941,4,2,NA
2,1989,7,2,345
1,1946,4,1,NA
2,1949,4,1,NA
1,1978,5,1,243
1,1975,5,2,267
2,1981,5,2,60
2,2014,3,2,NA
1,2016,1,2,NA
1,1974,7,2,593
2,1976,6,2,NA
2,2005,5,2,NA
1,1947,5,1,120
2,1952,5,1,NA
1,1982,7,1,342
1,1943,8,2,NA
2,1946,7,2,NA
1,1973,7,1,NA
2,1975,7,1,275
2,1942,2,1,NA
2,1950,2,1,27
1,1941,2,1,27
2,1981,7,1,250
2,1934,2,1,NA
2,1937,2,1,NA
2,1935,4,2,NA
1,1942,3,1,6
2,1938,2,5,NA
1,1971,4,5,310
2,2004,5,5,NA
1,2008,4,5,NA
1,1944,3,1,NA
1,1958,3,1,NA
1,1992,5,1,210
1,1932,4,1,NA
2,1943,3,1,NA
2,1941,2,1,NA
1,1951,5,1,NA
2,1994,7,2,708
1,1946,7,2,NA
2,1948,5,2,NA
1,1962,7,1,NA
2,1963,7,1,714
1,1996,6,1,NA
2,1947,5,1,NA
1,1967,6,2,294
2,1973,5,2,337
2,2000,6,2,NA
1,2002,6,2,NA
1,1945,4,1,NA
1,1939,3,1,NA
2,1943,2,1,NA
1,1946,3,6,NA
2,1952,3,6,NA
2,1982,5,2,NA
1,1979,5,2,335
1,2015,1,2,NA
2,2015,1,2,NA
1,2015,1,2,NA
2,1940,3,1,NA
2,1939,2,1,NA
2,1965,5,1,517
1,1991,7,1,200
1,1989,5,1,385
2,1990,7,1,350
2,1950,4,1,NA
2,1963,5,1,NA
2,1992,6,1,275
1,1994,7,1,363
2,1985,5,6,130
1,1980,6,6,650
1,2010,3,6,NA
2,2012,3,6,NA
1,1974,6,1,NA
2,1976,6,1,235
1,2002,6,1,NA
1,2006,4,1,NA
1,2011,3,1,NA
1,1941,5,1,NA
2,1942,3,1,NA
1,1942,5,1,NA
2,1948,4,1,NA
1,1970,6,1,NA
1,1972,5,1,198
2,1967,5,2,165
2,2001,7,2,35
2,1991,5,2,NA
1,1992,7,2,593
1,2014,3,2,NA
2,2014,3,2,NA
2,2019,1,2,NA
1,1970,5,2,285
2,1971,5,2,200
1,1996,5,2,210
1,1941,3,1,NA
2,1941,2,1,NA
2,1944,4,1,NA
1,1953,3,1,NA
2,1952,3,1,190
1,1977,8,2,727
2,1977,6,2,70
